Nombre,Direccion,Ciudad,Pais,Precio,Tipos_Cocina,Ideales,Valoracion
La Table du Cinq,5 route de Toulouse; Bagnères-de-Bigorre; 65200; Francia,Bagnères-de-Bigorre,Francia,1,Moderna,Familiar,0
Avenir,Carrer de l'Avenir 72; Barcelona; 08021; España,Barcelona,España,1,Actual,Cocina local,0
Cruix,Entença 57; Barcelona; 08015; España,Barcelona,España,1,Actual,,0
Glug,Viladomat 289; Barcelona; 08029; España,Barcelona,España,1,Creativa,,0
El Cel de les Oques,De la Palla 15; Terrassa; 08221; España,Terrassa,España,1,Moderna,Terraza agradable;Romántico,0
Vapor Gastronòmic,De la Palla 15; Terrassa; 08221; España,Terrassa,España,0,Regional,,0
Can Ferrán,Carretera de Rubí C 1413a; Sant Quirze del Vallès; 08192; España,Sant Quirze del Vallès,España,0,Catalana,,0
L'Empreinte,2 rue Gaston-Manent; Tarbes; 65000; Francia,Tarbes,Francia,1,Creativa,,0
Oníric,Rabassa 37; Barcelona; 08024; España,Barcelona,España,1,Fusión,,0
Saó,Cesare Cantù 2; Barcelona; 08023; España,Barcelona,España,1,Creativa; Tradicional,Romántico,0
Bacaro,Jerusalem 6; Barcelona; 08001; España,Barcelona,España,1,Italiana,,0
Bardeni-Caldeni,Valencia 454; Barcelona; 08013; España,Barcelona,España,1,Carnes a la parrilla,Comer solo,0
Berbena,Minerva 6; Barcelona; 08006; España,Barcelona,España,1,Creativa,,0
Garbí,Barcelona 52; Castellar del Vallès; 08211; España,Castellar del Vallès,España,1,Catalana,Cocina local,0
Bar Verat,Avenida Pallaresa 104; Santa Coloma de Gramenet; 08921; España,Santa Coloma de Gramenet,España,0,Fusión,Comer solo,0
Urbisol,Carretera N 141 C; Calders; 08279; España,Calders,España,1,Tradicional,Productos locales,0
Dos Cuiners,Muralla de Sant Llorenç 18; Mataró; 08301; España,Mataró,España,1,Actual,Cocina local;Tendencia,0
Villa Mirasol - Bistrot 1912,2 boulevard Ferdinand-de-Candau; Mont-de-Marsan; 40000; Francia,Mont-de-Marsan,Francia,1,Moderna,Terraza agradable;Familiar,0
Le Carré de l'Ange,Chemin du Parc (Palais des Évêques); Saint-Lizier; 09190; Francia,Saint-Lizier,Francia,1,Moderna,Terraza agradable,0
L’Hostal de Ca l’Enric,Carretera Camprodón N 260; La Vall de Bianya; 17813; España,La Vall de Bianya,España,1,Tradicional,Familiar;Grupos,0
L'Aillet,16 place Gambetta; La Teste-de-Buch; 33260; Francia,La Teste-de-Buch,Francia,1,Moderna; Cocina de mercado,Terraza agradable,0
Bellavista,Place du Foiral; Prats-de-Mollo-la-Preste; 66230; Francia,Prats-de-Mollo-la-Preste,Francia,1,Moderna; Catalana,,0
L'Échappée Belle,2 place Gambetta; L'Isle-Jourdain; 32600; Francia,L'Isle-Jourdain,Francia,1,Moderna,Terraza agradable,0
Can Xapes,Mossèn Jacint Verdaguer 2; Cornellà del Terri; 17844; España,Cornellà del Terri,España,1,Actual,Familiar,0
Racinette,6 rue Fontélie; Lectoure; 32700; Francia,Lectoure,Francia,1,Moderna,,0
Can Boix,Carretera de Banyoles a l'Escala; Vilamarí; 17468; España,Vilamarí,España,1,Regional,,0
